Load Level(users)	Throughput(req\s)	Response Time(ms)
1	6595.750000 0.090372
5	36913.015625 0.075968
10	75210.296875 0.075894
15	99055.851562 0.098042
20	99996.929688 0.145647
25	100542.046875 0.194326
30	99917.929688 0.245994
35	99461.664062 0.297748
40	99706.015625 0.347134
45	99159.101562 0.399618
50	99271.531250 0.449582
55	98021.765625 0.506726
60	98801.250000 0.552996
65	99044.085938 0.602136
70	98730.929688 0.654890
75	98977.382812 0.703678
80	98561.000000 0.757669
85	98819.968750 0.806092
90	98746.335938 0.857333
95	98398.765625 0.911386
100	98712.664062 0.958983
